sector_code, sector_name           , industry_group_code, industry_group_name                             , industry_code, industry_name                                        , industry_description
         10, Energy                ,                1010, Energy                                          ,        101010, Energy Equipment & Services                          , "Oil & Gas Drilling: Drilling contractors or owners of drilling rigs that contract their services for drilling wells | Oil & Gas Equipment & Services: Manufacturers of equipment, including drilling rigs and equipment, and providers of supplies such as fractured silica and services to companies involved in the drilling, evaluation and completion of oil and gas wells."
         10, Energy                ,                1010, Energy                                          ,        101020, "Oil, Gas & Consumable Fuels"                        , "Integrated Oil & Gas: Integrated oil companies engaged in the exploration & production of oil and gas, as well as at least one other significant activity in either refining, marketing and transportation, or chemicals. | Oil & Gas Exploration & Production: Companies engaged in the exploration and production of oil and gas not classified elsewhere. | Oil & Gas Refining & Marketing: Companies engaged in the refining and marketing of oil, gas and/or refined products not classified in the Integrated Oil & Gas or Independent Power Producers & Energy Traders Sub-Industries. | Oil & Gas Storage & Transportation: Companies engaged in the storage and/or transportation of oil, gas and/or refined products. Includes diversified midstream natural gas companies, oil and refined product pipelines, coal slurry pipelines and oil & gas shipping companies. | Coal & Consumable Fuels: Companies primarily involved in the production and mining of coal, related products and other consumable fuels related to the generation of energy such as bituminous (thermal) coal, uranium, biomass, hydrogen, and petroleum coke."
         15, Materials             ,                1510, Materials                                       ,        151010, Chemicals                                            , "Commodity Chemicals: Companies that primarily produce industrial chemicals and basic chemicals. Including but not limited to plastics, synthetic fibers, films, commodity-based paints & pigments, explosives and petrochemicals. Excludes chemical companies classified in the Diversified Chemicals, Fertilizers & Agricultural Chemicals, Industrial Gases, or Specialty Chemicals Sub-Industries. | Diversified Chemicals: Manufacturers of a diversified range of chemical products not classified in the Industrial Gases, Commodity Chemicals, Specialty Chemicals or Fertilizers & Agricultural Chemicals Sub-Industries. | Fertilizers & Agricultural Chemicals: Producers of fertilizers, pesticides, potash (including potash miners) or other agriculture-related chemicals, not classified elsewhere. | Industrial Gases: Manufacturers of industrial gases such as Oxygen, Nitrogen, Hydrogen, Carbon Dioxide, Dry Ice, Helium, and Acetylene. | Specialty Chemicals: Companies that primarily produce high value-added chemicals used in the manufacture of a wide variety of products, including but not limited to fine chemicals, additives, advanced polymers, adhesives, sealants and specialty paints, pigments and coatings."
         15, Materials             ,                1510, Materials                                       ,        151020, Construction Materials                               , "Construction Materials: Manufacturers of construction materials including sand, clay, gypsum, lime, aggregates, cement, concrete and bricks. Other finished or semi-finished building materials are classified  in the Building Products Sub-Industry."
         15, Materials             ,                1510, Materials                                       ,        151030, Containers & Packaging                               , "Metal, Glass & Plastic Containers: Manufacturers of metal, glass or plastic containers. Includes corks and caps. | Paper & Plastic Packaging Products & Materials: Manufacturers of paper and cardboard containers & packaging, plastic packaging materials, wood containers, and related packaging products."
         15, Materials             ,                1510, Materials                                       ,        151040, Metals & Mining                                      , "Aluminum: Producers of aluminum and related products, including companies that mine or process bauxite and companies that recycle aluminum to produce finished or semi-finished products. Excludes companies that primarily produce aluminum building materials classified in the Building Products Sub-Industry. | Diversified Metals & Mining: Companies engaged in the diversified production or extraction of metals and minerals not classified elsewhere. Including, but not limited to, nonferrous metal mining (except bauxite), salt and borate mining, phosphate rock mining, and diversified mining operations. Excludes iron ore mining, classified in the Steel Sub-Industry, bauxite mining, classified in the Aluminum Sub-Industry, and coal mining, classified in either the Steel or Coal & Consumable Fuels Sub-Industries. | Copper: Companies involved primarily in copper ore mining and companies that manufacture primary and basic copper products such as rods, tubes, and wires. | Gold: Producers of gold and related products, including companies that mine or process gold and the South African finance houses which primarily invest in, but do not operate, gold mines. | Precious Metals & Minerals: Companies mining precious metals and minerals not classified in the Gold Sub-Industry. Includes companies primarily mining platinum. | Silver: Companies primarily mining silver. Excludes companies classified in the Gold or Precious Metals & Minerals Sub-Industries. | Steel: Producers of iron and steel and related products, including iron ore mining and metallurgical (coking) coal mining used for steel production."
         15, Materials             ,                1510, Materials                                       ,        151050, Paper & Forest Products                              , Forest Products: Manufacturers of timber and related wood products. Includes lumber for the building industry. | Paper Products: Manufacturers of all grades of paper. Excludes companies specializing in paper packaging classified in the Paper Packaging Sub-Industry.
         20, Industrials           ,                2010, Capital Goods                                   ,        201010, Aerospace & Defense                                  , "Aerospace & Defense: Manufacturers of civil or military aerospace and defense equipment, parts or products. Includes defense electronics and space equipment."
         20, Industrials           ,                2010, Capital Goods                                   ,        201020, Building Products                                    , Building Products: Manufacturers of building components and home improvement products and equipment. Excludes lumber and plywood classified under Forest Products and cement and other materials classified in the Construction Materials Sub-Industry.
         20, Industrials           ,                2010, Capital Goods                                   ,        201030, Construction & Engineering                           , Construction & Engineering: Companies engaged in primarily non-residential construction. Includes civil engineering companies and large-scale contractors. Excludes companies classified in the Homebuilding Sub-Industry.
         20, Industrials           ,                2010, Capital Goods                                   ,        201040, Electrical Equipment                                 , "Electrical Components & Equipment: Companies that produce electric cables and wires, electrical components or equipment not classified in the Heavy Electrical Equipment Sub-Industry. | Heavy Electrical Equipment: Manufacturers of power-generating equipment and other heavy electrical equipment, including power turbines, heavy electrical machinery intended for fixed-use and large electrical systems. Excludes cables and wires, classified in the Electrical Components & Equipment Sub-Industry."
